;asertividad;autoconciencia emocional;autoestima;desarrollar y estimular a los demás;empatía;autocontrol emocional;influencia;liderazgo;optimismo;relación social;colaboración y cooperación;comprensión organizativa;conciencia crítica;desarrollo de las relaciones;tolerancia a la frustración;comunicacion asertiva;manejo de conflictos;motivación de logro;percepción y comprensión emocional;violencia
alert;0.000;0.000;0.000;0.000;0.195;0.149;0.000;0.213;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.000;0.152;0.000;0.000;0.000
algun;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.131;0.000;0.000;0.000;0.000
alicaid;0.000;0.000;0.166;0.000;0.000;0.149;0.000;0.000;0.155;0.187;0.000;0.000;0.000;0.177;0.000;0.000;0.152;0.000;0.000;0.262
alien;0.000;0.150;0.000;0.000;0.000;0.149;0.000;0.000;0.000;0.187;0.141;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
alient;0.000;0.000;0.166;0.195;0.195;0.000;0.179;0.000;0.155;0.187;0.141;0.000;0.000;0.177;0.000;0.000;0.000;0.211;0.157;0.000
alivi;0.000;0.000;0.000;0.195;0.195;0.149;0.179;0.000;0.155;0.000;0.000;0.000;0.000;0.177;0.137;0.000;0.000;0.211;0.157;0.000
amabl;0.000;0.000;0.000;0.195;0.195;0.000;0.179;0.000;0.155;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.157;0.000
amad;0.000;0.150;0.166;0.195;0.000;0.149;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.177;0.000;0.000;0.000;0.211;0.157;0.000
amarg;0.000;0.000;0.166;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.141;0.000;0.000;0.177;0.137;0.131;0.000;0.000;0.000;0.000
ambici;0.115;0.000;0.000;0.195;0.000;0.149;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.131;0.000;0.211;0.000;0.000
amenaz;0.000;0.150;0.000;0.000;0.000;0.149;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.000;0.152;0.000;0.000;0.262
amist;0.000;0.000;0.166;0.195;0.195;0.000;0.179;0.213;0.155;0.187;0.141;0.000;0.000;0.177;0.000;0.000;0.152;0.000;0.157;0.000
amonest;0.115;0.000;0.000;0.000;0.000;0.000;0.179;0.213;0.000;0.000;0.141;0.000;0.000;0.000;0.000;0.131;0.000;0.000;0.000;0.262
amonton;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.187;0.000;0.170;0.000;0.000;0.137;0.000;0.000;0.000;0.000;0.000
amor;0.000;0.150;0.166;0.000;0.195;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.177;0.000;0.000;0.000;0.000;0.157;0.000
amordaz;0.115;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.000;0.152;0.000;0.000;0.262
ampli;0.000;0.000;0.000;0.195;0.000;0.000;0.000;0.213;0.155;0.000;0.141;0.000;0.163;0.000;0.000;0.000;0.000;0.211;0.157;0.000
anal;0.115;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.131;0.000;0.000;0.000;0.262
analfabetism;0.115;0.000;0.166;0.000;0.195;0.149;0.000;0.000;0.000;0.000;0.000;0.170;0.000;0.000;0.137;0.131;0.000;0.000;0.000;0.262
analfabet;0.000;0.150;0.000;0.000;0.195;0.000;0.000;0.000;0.000;0.000;0.000;0.170;0.163;0.000;0.000;0.131;0.000;0.000;0.000;0.000
angers;0.115;0.000;0.000;0.000;0.000;0.000;0.179;0.000;0.000;0.187;0.141;0.000;0.000;0.000;0.000;0.000;0.152;0.000;0.000;0.262
angusti;0.000;0.150;0.000;0.195;0.000;0.149;0.000;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.137;0.000;0.152;0.000;0.157;0.000
anhel;0.000;0.150;0.166;0.195;0.000;0.149;0.179;0.000;0.155;0.000;0.141;0.000;0.000;0.000;0.000;0.000;0.000;0.211;0.000;0.000
anim;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.155;0.000;0.000;0.000;0.163;0.000;0.137;0.000;0.152;0.000;0.000;0.000
ansi;0.000;0.000;0.000;0.000;0.000;0.149;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
